,column_name,term_id
0,Patient age quantile,397669002
1,Patient addmited to regular ward (1=yes 0=no),305342007
2,Patient addmited to semi-intensive unit (1=yes 0=no),None
3,Patient addmited to intensive care unit (1=yes 0=no),309904001
4,Hematocrit,28317006
5,Hemoglobin,38082009
6,Platelets,61928009
7,Mean platelet volume,75672003
8,Red blood Cells,14089001
9,Lymphocytes,446325007
10,Mean corpuscular hemoglobin concentrationÂ (MCHC),37254006
11,Leukocytes,767002
12,Basophils,42351005
13,Mean corpuscular hemoglobin (MCH),54706004
14,Eosinophils,71960002
15,Mean corpuscular volume (MCV),735146006
16,Monocytes,67776007
17,Red blood cell distribution width (RDW),66842004
18,SARS-Cov-2 exam result,1240581000000104
